"","Item_Number","Set_Name","Amazon_Price","Year","Pages","unique_pieces","Theme","Pieces","Price","Ages","Minifigures","Packaging","Weight","Availability","Size"
"50","-",NA,"€41.61*",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"51","-",NA,"€65.33",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"52","-",NA,"-",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"53","-",NA,"",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"54","-",NA,"€6.99",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"55","-",NA,"-",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"56","-",NA,"€23.64",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"57","-",NA,"",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"58","-",NA,"-",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"59","-",NA,"€50.43*",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"60","-",NA,"-",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"61","-",NA,"",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"62","-",NA,"-",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"63","-",NA,"-",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"64","-",NA,"",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"65","-",NA,"€13.14*",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"66","-",NA,"-",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"67","-",NA,"",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"68","-",NA,"-",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"69","-",NA,"",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"70","-",NA,"",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"71","-",NA,"€73.91",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"72","-",NA,"",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"73","-",NA,"-",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"74","-",NA,"-",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"75","-",NA,"€47.55",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"76","-",NA,"€28.90*",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"77","-",NA,"-",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"78","-",NA,"€108.28*",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"79","-",NA,"€8.99",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"80","-",NA,"€9.99",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"81","-",NA,"€74.99*",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"82","-",NA,"",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"83","-",NA,"",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"84","-",NA,"",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"85","-",NA,"-",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"86","-",NA,"€7.51",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"87","-",NA,"€17.26",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"88","-",NA,"€70.00*",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"89","-",NA,"-",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"90","-",NA,"-",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"91","-",NA,"",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"92","-",NA,"",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"93","-",NA,"-",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"94","-",NA,"",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"95","-",NA,"€60.28",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"96","-",NA,"-",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"97","-",NA,"€73.79*",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"98","-",NA,"-",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"99","-",NA,"-",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"100","-",NA,"",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"101","-",NA,"€46.82",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"102","-",NA,"-",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"103","-",NA,"-",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"104","-",NA,"-",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"105","-",NA,"€44.58",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"106","-",NA,"€185.07",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"107","-",NA,"-",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"108","-",NA,"-",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"109","-",NA,"-",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"110","-",NA,"-",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"111","-",NA,"-",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"112","-",NA,"-",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"113","-",NA,"-",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"114","-",NA,"-",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"115","-",NA,"-",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"116","-",NA,"",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"117","-",NA,"€52.97",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"118","-",NA,"",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"119","-",NA,"-",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"120","-",NA,"",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"121","-",NA,"",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"122","-",NA,"€44.99",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"123","-",NA,"",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"124","-",NA,"",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"125","-",NA,"",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"126","-",NA,"-",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"127","-",NA,"-",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"128","-",NA,"-",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"129","-",NA,"-",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"130","-",NA,"-",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"131","-",NA,"",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"132","-",NA,"€33.57",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"133","-",NA,"",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"134","-",NA,"",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"135","-",NA,"-",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"136","-",NA,"",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"137","-",NA,"-",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"138","-",NA,"",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"139","-",NA,"-",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"140","-",NA,"-",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"141","-",NA,"-",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"142","-",NA,"€64.90",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"143","-",NA,"",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"144","-",NA,"€14.47",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"145","-",NA,"",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"146","-",NA,"-",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"147","-",NA,"€51.20",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"148","-",NA,"-",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"149","-",NA,"-",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"150","-",NA,"-",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"151","-",NA,"-",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"152","-",NA,"€24.99",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"153","-",NA,"-",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"154","-",NA,"",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"155","-",NA,"-",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"156","-",NA,"-",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"157","-",NA,"",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"158","-",NA,"",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"159","-",NA,"€88.69",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"160","-",NA,"-",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"161","-",NA,"-",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"162","-",NA,"€67.42",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"163","-",NA,"€71.91",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"164","-",NA,"-",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"165","-",NA,"",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"166","-",NA,"-",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"167","-",NA,"",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"168","-",NA,"-",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"169","-",NA,"",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"170","-",NA,"€52.59*",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"171","-",NA,"",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"172","-",NA,"",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"173","-",NA,"-",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"174","-",NA,"€17.99",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"175","-",NA,"-",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"176","-",NA,"-",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"177","-",NA,"-",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"178","-",NA,"€140.67",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"179","-",NA,"-",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"180","€10.02*",NA,"€5.87",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"181","€10.04",NA,"€14.99",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"182","€10.13*",NA,"",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"183","€10.18",NA,"€14.17",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"184","€10.53*",NA,"",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"185","€10.99",NA,"€14.99",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"186","€100.69",NA,"€107.29",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"187","€102.99",NA,"€129.50",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"188","€104.30*",NA,"",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"189","€104.30*",NA,"",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"190","€104.99",NA,"-",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"191","€105.25*",NA,"",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"192","€105.99",NA,"€119.76",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"193","€105.99",NA,"-",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"194","€107.14*",NA,"",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"195","€108.99",NA,"-",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"196","€109.99",NA,"€132.90",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"197","€109.99",NA,"€107.92",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"198","€109.99",NA,"€117.72",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"199","€11.49",NA,"€11.99",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"200","€11.99*",NA,"€19.48*",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"201","€110.65*",NA,"-",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"202","€112.00",NA,"€128.32*",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"203","€113.78",NA,"",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"204","€117.00*",NA,"€117.00*",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"205","€119.00",NA,"€104.31",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"206","€12.32",NA,"",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"207","€12.40*",NA,"€14.23*",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"208","€12.74*",NA,"€15.78*",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"209","€12.98",NA,"€15.70",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"210","€12.99",NA,"€14.79",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"211","€12.99",NA,"€16.99",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"212","€12.99",NA,"-",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"213","€12.99",NA,"€17.99",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"214","€123.22",NA,"",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"215","€123.26",NA,"",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"216","€123.26",NA,"",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"217","€125.07*",NA,"",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"218","€128.95*",NA,"",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"219","€129.99",NA,"-",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"220","€13.23*",NA,"",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"221","€13.44*",NA,"€13.38*",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"222","€13.49",NA,"€16.90",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"223","€13.72*",NA,"€15.01*",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"224","€13.99",NA,"€16.99",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"225","€13.99",NA,"€16.99",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"226","€13.99",NA,"€16.99",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"227","€13.99",NA,"€16.99",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"228","€131.99",NA,"€159.90*",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"229","€131.99",NA,"€149.90",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"230","€137.40*",NA,"",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"231","€14.13*",NA,"",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"232","€14.18",NA,"",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"233","€14.19",NA,"€15.99",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"234","€14.21",NA,"",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"235","€14.21",NA,"",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"236","€14.32*",NA,"€7.40",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"237","€14.44",NA,"€13.76",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"238","€14.49*",NA,"€9.99",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"239","€14.54*",NA,"-",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"240","€14.58*",NA,"€12.36",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"241","€14.70*",NA,"",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"242","€14.93*",NA,"",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"243","€14.99",NA,"€10.50",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"244","€14.99",NA,"€13.08",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"245","€14.99",NA,"€10.74",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"246","€14.99",NA,"€17.99",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"247","€14.99",NA,"€12.90",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"248","€14.99",NA,"€17.99",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"249","€14.99",NA,"€17.99",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"250","€14.99",NA,"€12.99",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"251","€14.99",NA,"€16.99",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"252","€14.99",NA,"€16.99",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"253","€14.99",NA,"€16.99",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"254","€14.99",NA,"€16.99",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"255","€14.99",NA,"€18.99",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"256","€140.32*",NA,"",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
"257","€148.99",NA,"€152.49",NA,NA,NA,NA,NA,NA,"Ages_NA",NA,NA,NA,NA,NA
